"","Species","a","b","convertion_method"
"1","Iniistius pavo",NA,NA,NA
"2","Pteragogus trispilus",NA,NA,NA
"3","Oxycheilinus mentalis",NA,NA,NA
"4","No Fish",NA,NA,NA
"5","Pterois cincta",NA,NA,NA
"6","Caesio suevica",NA,NA,NA
"7","Chaetodon lineolatus",NA,NA,NA
"8","Rhabdosargus haffara",NA,NA,NA
"9","Gorgasia sillneri",NA,NA,NA
"10","Chlorurus genazonatus",NA,NA,NA
"11","Taeniura lymma",NA,NA,NA
"12","Pseudochromis dixurus",NA,NA,NA
"13","Vanderhorstia ornatissima",NA,NA,NA
"14","Dendrochirus hemprichi",NA,NA,NA
"15","Diplogrammus randalli",NA,NA,NA
"16","Carangoides sp.",NA,NA,NA
"17","Cryptocentrus lutheri",NA,NA,NA
"18","Tomiyamichthys latruncularius",NA,NA,NA
"19","Acanthurus sohal",NA,NA,NA
"20","Upeneus francisi",NA,NA,NA
"21","Caesio striata",NA,NA,NA
"22","Plectropomus pessuliferus",NA,NA,NA
"23","Calloplesiops altivelis",NA,NA,NA
"24","Dunckerocampus boylei",NA,NA,NA
"25","Taeniamia bilineata",NA,NA,NA
